packet_id,temperature_(degC),humidity_(%),latency_(ms),packet_size_(bytes),throughput_(bits_per_second),receive_time_(unix_seconds)
1,31.0,49.0,365.009069442749,30,657.5179087095082,1781776950.5568018
2,31.0,50.0,344.99430656433105,29,672.4748657750356,1781776953.0656133
3,31.0,50.0,442.9464340209961,30,541.8262380426428,1781776955.691795
4,31.0,50.0,562.4415874481201,30,426.7109782704994,1781776958.339827
5,31.0,50.0,614.3074035644531,30,390.6838801020883,1781776960.9200242
6,31.0,50.0,314.1615390777588,30,763.9381978600413,1781776963.1484032
7,31.0,50.0,290.7114028930664,30,825.5610120951471,1781776965.6532838
8,31.0,50.0,233.33740234375,30,1028.5534920219723,1781776968.124094
9,31.0,50.0,392.2877311706543,29,591.4026403723409,1781776970.8113508
10,31.0,50.0,853.6934852600098,31,290.50239258235234,1781776973.8010502
11,31.0,50.0,260.67328453063965,30,920.6927377776233,1781776975.7363262
12,31.0,50.0,436.69986724853516,31,567.8957531234099,1781776980.967864
13,31.0,50.0,440.16027450561523,31,563.4311280784068,1781776983.5003977
14,31.0,50.0,482.316255569458,31,514.1854481085091,1781776986.071372
15,31.0,50.0,382.69543647766113,31,648.0349028527712,1781776988.5005538
16,31.0,50.0,304.1269779205322,30,789.144066208791,1781776990.950735
17,31.0,50.0,442.918062210083,31,559.9229770908952,1781776993.6184826
18,31.0,50.0,313.9052391052246,31,790.0473426531998,1781776996.0180628
19,31.0,50.0,320.12104988098145,30,749.7163966231841,1781776998.5529141
20,31.0,50.0,752.3725032806396,31,329.62395478120555,1781777001.5135586
21,31.0,50.0,399.20759201049805,31,621.2306703663048,1781777003.6888947
22,31.0,50.0,204.3747901916504,31,1213.4569032092486,1781777006.0227175
23,31.0,50.0,146.7447280883789,31,1690.009605323871,1781777008.4938715
24,31.0,50.0,466.08710289001465,31,532.0893851433646,1781777011.3420615
25,31.0,50.0,231.91571235656738,31,1069.3540229766893,1781777016.1639104
26,31.0,50.0,353.99389266967773,31,700.5770583489026,1781777018.8147862
27,31.0,50.0,749.1862773895264,31,331.0258175898979,1781777021.738529
28,31.0,52.0,662.8885269165039,31,374.12021769874076,1781777024.1808827
29,31.0,55.0,764.3108367919922,31,324.47531562017275,1781777026.810662
30,31.0,58.0,1009.8419189453125,31,245.58299209742978,1781777029.5845253
31,31.0,61.0,900.3865718841553,30,266.5521760256534,1781777032.0035737
32,31.0,65.0,1095.327615737915,31,226.41627622336904,1781777034.7272444
33,31.0,67.0,1016.9928073883057,31,243.85619858696725,1781777037.1779237
34,31.0,70.0,788.4724140167236,31,314.532246900828,1781777039.4777298
35,31.0,71.0,1334.1798782348633,31,185.88198191694144,1781777042.5520897
36,31.0,74.0,3194.5388317108154,31,77.63248877684957,1781777046.9420295
37,31.0,75.0,665.4667854309082,30,360.64910413912446,1781777046.9423578
38,31.0,78.0,769.9334621429443,31,322.10575613864773,1781777049.5756829
39,32.0,79.0,905.9369564056396,31,273.7497330763006,1781777052.2408075
40,32.0,80.0,793.6732769012451,31,312.47114803747894,1781777054.656945
41,32.0,83.0,2297.7609634399414,31,107.93115730746995,1781777058.6897037
42,32.0,83.0,929.7895431518555,31,266.7270263755763,1781777059.849757
43,32.0,85.0,1266.2179470062256,30,189.54082949735667,1781777062.714447
44,32.0,87.0,753.4348964691162,31,329.15916313701786,1781777064.731435
45,32.0,90.0,912.9295349121094,31,271.65294857491466,1781777072.4734263
46,32.0,91.0,736.8783950805664,31,336.55485308791685,1781777074.825519
47,32.0,91.0,695.9507465362549,31,356.3470565040635,1781777077.31276
48,32.0,92.0,790.1473045349121,31,313.86552681588284,1781777079.934701
49,32.0,92.0,718.2390689849854,31,345.2889305373952,1781777082.3904612
50,32.0,93.0,1136.7428302764893,31,218.1671996468006,1781777085.3368354
51,32.0,93.0,705.331563949585,31,351.6076873283475,1781777087.433725
52,32.0,91.0,911.0379219055176,31,272.21698903738906,1781777090.1676812
53,32.0,90.0,627.8696060180664,31,394.9864711127043,1781777092.4126508
54,32.0,86.0,657.4361324310303,31,377.2229540882695,1781777094.9710343
55,32.0,81.0,629.380464553833,31,394.038286802891,1781777097.4711332
56,32.0,77.0,1072.5624561309814,30,223.763193115806,1781777100.4424806
57,32.0,74.0,888.1261348724365,30,270.23188551305464,1781777102.7865112
58,32.0,71.0,701.5373706817627,30,342.1057951150415,1781777105.1287293
59,32.0,68.0,206.4056396484375,31,1201.5175574776374,1781777107.1616814
60,32.0,64.0,417.93346405029297,31,593.3958903328123,1781777112.4283268
61,32.0,62.0,771.7373371124268,31,321.35285941707826,1781777115.3087316
62,32.0,60.0,1110.0962162017822,31,223.404058477505,1781777118.1743038
63,32.0,59.0,823.7490653991699,31,301.06255705410103,1781777120.4158814
64,32.0,57.0,871.49977684021,31,284.5669116510525,1781777122.9916055
65,32.0,57.0,1023.2574939727783,31,242.36323844269597,1781777125.6706417
66,32.0,56.0,847.7213382720947,31,292.5489648585429,1781777128.022174
67,32.0,55.0,677.6123046875,31,365.99099261394343,1781777130.3794699
68,31.0,54.0,705.512285232544,31,351.51762087070773,1781777132.9346335
69,31.0,54.0,523.9360332489014,31,473.3402252602561,1781777135.2804098
70,31.0,53.0,439.2740726470947,31,564.5678073042999,1781777137.7228713
71,31.0,53.0,824.7084617614746,31,300.71232623259726,1781777140.6354072
72,31.0,52.0,410.9764099121094,30,583.975124147213,1781777142.7490284
73,31.0,52.0,199.9366283416748,31,1240.3930288160554,1781777145.0648468
74,31.0,52.0,322.16358184814453,31,769.7952654279143,1781777147.71363
75,31.0,52.0,214.2953872680664,31,1157.281092988585,1781777150.1322956
76,31.0,52.0,342.9279327392578,30,699.8555004922327,1781777152.787569
77,31.0,52.0,264.4083499908447,31,937.943147440643,1781777155.23592
78,31.0,52.0,742.8998947143555,31,333.82694191302295,1781777158.241172
79,31.0,52.0,649.4245529174805,31,381.87653806109216,1781777160.675002
80,31.0,52.0,886.918306350708,31,279.61989083348004,1781777165.965806
81,31.0,52.0,1236.562728881836,30,194.08639318849634,1781777168.8433208
82,31.0,51.0,947.5927352905273,30,253.2733642437826,1781777171.0814688
83,31.0,51.0,702.2018432617188,30,341.78207064396616,1781777173.3636878
84,31.0,51.0,1025.9931087493896,31,241.71702313117268,1781777176.2149844
85,31.0,51.0,1020.021915435791,30,235.2890622918265,1781777178.7370958
86,31.0,51.0,610.5942726135254,30,393.05969735472377,1781777183.3826063
87,31.0,51.0,390.7501697540283,30,614.2031880653477,1781777185.6898472
88,31.0,51.0,538.9435291290283,31,460.15952803215936,1781777188.3662517
89,31.0,51.0,290.22812843322754,31,854.5002213906951,1781777190.6450868
90,31.0,51.0,482.867956161499,31,513.5979657284495,1781777193.365894
91,31.0,51.0,249.5715618133545,31,993.7029611790073,1781777195.6610494
92,31.0,51.0,445.0221061706543,30,539.2990520519587,1781777198.385333
93,31.0,51.0,444.2858695983887,31,558.1991617788319,1781777200.9130895
94,31.0,51.0,282.56726264953613,31,877.667135515237,1781777203.2797315
95,31.0,51.0,411.00049018859863,31,603.4056063684949,1781777205.936821
96,31.0,51.0,754.2836666107178,30,318.182681958912,1781777211.3356187
97,30.0,51.0,838.8965129852295,31,295.626452323049,1781777213.9488957
98,30.0,51.0,694.9677467346191,31,356.8510929683496,1781777216.3326724
99,30.0,51.0,487.1952533721924,31,509.0361580566152,1781777218.6535184
100,30.0,51.0,609.5242500305176,31,406.87470594907944,1781777221.3043423
101,30.0,51.0,1020.6828117370605,32,250.81249243761,1781777224.2444537
102,30.0,51.0,1066.0443305969238,30,225.13135064994316,1781777226.8183143
103,30.0,51.0,581.5715789794922,32,440.18657247524686,1781777228.862355
